datetime,1A-Th-Chilled Water
2021-08-14 23:45:00,-1003.9170751956256
2021-08-15 00:00:00,-1195.0219453978923
2021-08-15 00:15:00,-1375.8394124722147
2021-08-15 00:30:00,-1239.130144180074
2021-08-15 00:45:00,-1263.0112534113057
2021-08-15 01:00:00,-1315.9916073416168
2021-08-15 01:15:00,-1378.0675566665689
2021-08-15 01:30:00,-1266.1485068685636
2021-08-15 01:45:00,-1344.6604304263851
2021-08-15 02:00:00,-1528.5856043299038
2021-08-15 02:15:00,-1351.0138809555426
2021-08-15 02:30:00,-1171.8467099219697
2021-08-15 02:45:00,-1434.8692093575655
2021-08-15 03:00:00,-1171.386827762238
2021-08-15 03:15:00,-1192.2568719701342
2021-08-15 03:30:00,-1572.829782238913
2021-08-15 03:45:00,-1315.0192903028762
2021-08-15 04:00:00,-1233.2859750616533
2021-08-15 04:15:00,-1267.6847944154024
2021-08-15 04:30:00,-1321.4152589336888
2021-08-15 04:45:00,-1273.2945416649404
2021-08-15 05:00:00,-1384.7270250256372
2021-08-15 05:15:00,-1142.549147435045
2021-08-15 05:30:00,-1213.960663505432
2021-08-15 05:45:00,-1163.150492691428
2021-08-15 06:00:00,-1363.1201415583553
2021-08-15 06:15:00,-1490.7350949740633
2021-08-15 06:30:00,-1751.2235304462629
2021-08-15 06:45:00,-1584.8172441556146
2021-08-15 07:00:00,-1590.6463044080283
2021-08-15 07:15:00,-2117.6607219067414
2021-08-15 07:30:00,-2281.260576046218
2021-08-15 07:45:00,-2392.510097176052
2021-08-15 08:00:00,-2644.4649262511084
2021-08-15 08:15:00,-2232.181153448801
2021-08-15 08:30:00,-2546.07827109584
2021-08-15 08:45:00,-2537.4837635971003
2021-08-15 09:00:00,-2027.654351644344
2021-08-15 09:15:00,-2116.260575603061
2021-08-15 09:30:00,-1454.6130853573093
2021-08-15 09:45:00,-1648.2787517418828
2021-08-15 10:00:00,-1593.5317650074842
2021-08-15 10:15:00,-1653.8494400851257
2021-08-15 10:30:00,-1369.1816684392948
2021-08-15 10:45:00,-1449.0706716757304
2021-08-15 11:00:00,-1651.534998183499
2021-08-15 11:15:00,-1455.3328980012302
2021-08-15 11:30:00,-1457.4157153082976
2021-08-15 11:45:00,-1252.7438093218225
2021-08-15 12:00:00,-1724.316712779203
2021-08-15 12:15:00,-1929.4299020846263
2021-08-15 12:30:00,-2144.956246635005
2021-08-15 12:45:00,-2022.5851417391057
2021-08-15 13:00:00,-2268.9680463171985
2021-08-15 13:15:00,-2558.646783900861
2021-08-15 13:30:00,-2119.497866986896
2021-08-15 13:45:00,-2270.455012498142
2021-08-15 14:00:00,-2422.2775792331327
2021-08-15 14:15:00,-2540.206295389138
2021-08-15 14:30:00,-2536.438159664202
2021-08-15 14:45:00,-2888.935000239037
2021-08-15 15:00:00,-2694.54299952926
2021-08-15 15:15:00,-2474.074096948826
2021-08-15 15:30:00,-2280.6849923030263
2021-08-15 15:45:00,-2276.3101819642297
2021-08-15 16:00:00,-2368.089246570967
2021-08-15 16:15:00,-2401.449214905904
2021-08-15 16:30:00,-2297.315623880653
2021-08-15 16:45:00,-2175.3916496456964
2021-08-15 17:00:00,-2045.1644077406263
2021-08-15 17:15:00,-1982.4168195089665
2021-08-15 17:30:00,-1872.757767994968
2021-08-15 17:45:00,-1813.5511000822808
2021-08-15 18:00:00,-1744.0142808273558
2021-08-15 18:15:00,-1574.8525180185284
2021-08-15 18:30:00,-1530.8985921696185
2021-08-15 18:45:00,-1680.2318817421426
2021-08-15 19:00:00,-1538.7089770335556
2021-08-15 19:15:00,-1660.4722862385786
2021-08-15 19:30:00,-270.85956752532627
2021-08-15 19:45:00,0.202467250219295
2021-08-15 20:00:00,-1.3855949693670604
2021-08-15 20:15:00,-1114.4050087205794
2021-08-15 20:30:00,-1240.924257895868
2021-08-15 20:45:00,-1308.8515306737334
2021-08-15 21:00:00,-1260.4067195236232
2021-08-15 21:15:00,-1142.3442720544544
2021-08-15 21:30:00,-1193.044120991011
2021-08-15 21:45:00,-1399.8825712591504
2021-08-15 22:00:00,-1124.603312652035
2021-08-15 22:15:00,-1310.5168432957855
2021-08-15 22:30:00,-1435.6909548257047
2021-08-15 22:45:00,-1466.369368065483
2021-08-15 23:00:00,-1497.3114048559896
2021-08-15 23:15:00,-1502.621205507192
2021-08-15 23:30:00,-1515.3981796654955
2021-08-15 23:45:00,-1344.252492234608
2021-08-16 00:00:00,-1354.786212435234
2021-08-16 00:15:00,-1259.5903567715714
2021-08-16 00:30:00,-1212.0369715303718
2021-08-16 00:45:00,
2021-08-16 01:00:00,
2021-08-16 01:15:00,-1432.793435724069
2021-08-16 01:30:00,-1291.413730109503
2021-08-16 01:45:00,-1167.443245331645
2021-08-16 02:00:00,-1380.9631837494408
2021-08-16 02:15:00,-1357.9469557519633
2021-08-16 02:30:00,-1145.571296743644
2021-08-16 02:45:00,-1360.758238627693
2021-08-16 03:00:00,-1157.0488752450349
2021-08-16 03:15:00,-1364.9611377958654
2021-08-16 03:30:00,-1129.2399302593212
2021-08-16 03:45:00,-1129.487695253849
2021-08-16 04:00:00,-1110.237492079624
2021-08-16 04:15:00,-1232.5259742843057
2021-08-16 04:30:00,-1192.411972718341
2021-08-16 04:45:00,-1234.6520534199065
2021-08-16 05:00:00,-1197.1772979924838
2021-08-16 05:15:00,-1094.833568321602
2021-08-16 05:30:00,-1261.0051104549077
2021-08-16 05:45:00,-954.258305417598
2021-08-16 06:00:00,-1263.557177335848
2021-08-16 06:15:00,-1489.9715704993273
2021-08-16 06:30:00,-1579.000078425169
2021-08-16 06:45:00,-1313.5124099084353
2021-08-16 07:00:00,-1249.3618832222842
2021-08-16 07:15:00,-1771.4642882055327
2021-08-16 07:30:00,-2080.299436166003
2021-08-16 07:45:00,-2049.9993354054413
2021-08-16 08:00:00,-2075.477584581579
