datetime,1A-VAV2-DischargeAirflow
2021-08-14 23:45:00,68.34
2021-08-15 00:00:00,67.52
2021-08-15 00:15:00,67.63
2021-08-15 00:30:00,67.52
2021-08-15 00:45:00,67.65
2021-08-15 01:00:00,66.94
2021-08-15 01:15:00,68.2
2021-08-15 01:30:00,67.02
2021-08-15 01:45:00,66.7
2021-08-15 02:00:00,68.29
2021-08-15 02:15:00,67.57
2021-08-15 02:30:00,68.03
2021-08-15 02:45:00,67.37
2021-08-15 03:00:00,67.71
2021-08-15 03:15:00,67.62
2021-08-15 03:30:00,68.27
2021-08-15 03:45:00,67.45
2021-08-15 04:00:00,67.71
2021-08-15 04:15:00,67.23
2021-08-15 04:30:00,67.93
2021-08-15 04:45:00,66.57
2021-08-15 05:00:00,66.94
2021-08-15 05:15:00,67.17
2021-08-15 05:30:00,68.59
2021-08-15 05:45:00,66.95
2021-08-15 06:00:00,67.3
2021-08-15 06:15:00,40.65
2021-08-15 06:30:00,49.46
2021-08-15 06:45:00,60.35
2021-08-15 07:00:00,69.68
2021-08-15 07:15:00,215.0
2021-08-15 07:30:00,213.0
2021-08-15 07:45:00,226.0
2021-08-15 08:00:00,213.0
2021-08-15 08:15:00,41.68
2021-08-15 08:30:00,64.57
2021-08-15 08:45:00,71.82
2021-08-15 09:00:00,67.43
2021-08-15 09:15:00,68.57
2021-08-15 09:30:00,68.42
2021-08-15 09:45:00,68.98
2021-08-15 10:00:00,67.3
2021-08-15 10:15:00,67.8
2021-08-15 10:30:00,66.87
2021-08-15 10:45:00,66.35
2021-08-15 11:00:00,67.27
2021-08-15 11:15:00,68.09
2021-08-15 11:30:00,67.37
2021-08-15 11:45:00,67.07
2021-08-15 12:00:00,68.06
2021-08-15 12:15:00,67.8
2021-08-15 12:30:00,68.14
2021-08-15 12:45:00,67.07
2021-08-15 13:00:00,67.32
2021-08-15 13:15:00,67.43
2021-08-15 13:30:00,67.88
2021-08-15 13:45:00,67.39
2021-08-15 14:00:00,67.8
2021-08-15 14:15:00,68.21
2021-08-15 14:30:00,67.62
2021-08-15 14:45:00,67.77
2021-08-15 15:00:00,69.2
2021-08-15 15:15:00,67.75
2021-08-15 15:30:00,67.7
2021-08-15 15:45:00,67.78
2021-08-15 16:00:00,68.46
2021-08-15 16:15:00,68.08
2021-08-15 16:30:00,68.06
2021-08-15 16:45:00,67.96
2021-08-15 17:00:00,68.27
2021-08-15 17:15:00,69.14
2021-08-15 17:30:00,68.55
2021-08-15 17:45:00,69.04
2021-08-15 18:00:00,69.36
2021-08-15 18:15:00,69.45
2021-08-15 18:30:00,68.42
2021-08-15 18:45:00,68.65
2021-08-15 19:00:00,68.42
2021-08-15 19:15:00,69.33
2021-08-15 19:30:00,68.34
2021-08-15 19:45:00,67.96
2021-08-15 20:00:00,67.35
2021-08-15 20:15:00,68.0
2021-08-15 20:30:00,67.35
2021-08-15 20:45:00,67.68
2021-08-15 21:00:00,68.27
2021-08-15 21:15:00,69.01
2021-08-15 21:30:00,68.26
2021-08-15 21:45:00,68.75
2021-08-15 22:00:00,68.57
2021-08-15 22:15:00,67.32
2021-08-15 22:30:00,67.98
2021-08-15 22:45:00,67.71
2021-08-15 23:00:00,67.6
2021-08-15 23:15:00,67.32
2021-08-15 23:30:00,67.68
2021-08-15 23:45:00,68.01
2021-08-16 00:00:00,67.77
2021-08-16 00:15:00,67.9
2021-08-16 00:30:00,67.12
2021-08-16 00:45:00,67.42
2021-08-16 01:00:00,67.78
2021-08-16 01:15:00,68.21
2021-08-16 01:30:00,67.86
2021-08-16 01:45:00,67.8
2021-08-16 02:00:00,67.15
2021-08-16 02:15:00,67.95
2021-08-16 02:30:00,68.14
2021-08-16 02:45:00,68.14
2021-08-16 03:00:00,67.93
2021-08-16 03:15:00,68.16
2021-08-16 03:30:00,68.44
2021-08-16 03:45:00,67.47
2021-08-16 04:00:00,67.32
2021-08-16 04:15:00,68.38
2021-08-16 04:30:00,67.09
2021-08-16 04:45:00,67.52
2021-08-16 05:00:00,67.09
2021-08-16 05:15:00,67.85
2021-08-16 05:30:00,67.77
2021-08-16 05:45:00,68.06
2021-08-16 06:00:00,68.41
2021-08-16 06:15:00,48.24
2021-08-16 06:30:00,44.3
2021-08-16 06:45:00,61.94
2021-08-16 07:00:00,68.63
2021-08-16 07:15:00,222.0
2021-08-16 07:30:00,214.0
2021-08-16 07:45:00,229.0
2021-08-16 08:00:00,211.0
2021-08-16 08:15:00,79.52
2021-08-16 08:30:00,70.39
2021-08-16 08:45:00,62.43
2021-08-16 09:00:00,62.32
2021-08-16 09:15:00,64.76
2021-08-16 09:30:00,69.04
2021-08-16 09:45:00,68.0
2021-08-16 10:00:00,67.2
2021-08-16 10:15:00,68.11
2021-08-16 10:30:00,67.91
2021-08-16 10:45:00,67.85
2021-08-16 11:00:00,67.88
2021-08-16 11:15:00,67.35
2021-08-16 11:30:00,67.71
2021-08-16 11:45:00,67.25
2021-08-16 12:00:00,62.25
2021-08-16 12:15:00,68.18
2021-08-16 12:30:00,68.08
2021-08-16 12:45:00,
2021-08-16 13:00:00,
2021-08-16 13:15:00,
2021-08-16 13:30:00,
2021-08-16 13:45:00,
2021-08-16 14:00:00,
2021-08-16 14:15:00,
2021-08-16 14:30:00,
2021-08-16 14:45:00,
2021-08-16 15:00:00,
2021-08-16 15:15:00,
2021-08-16 15:30:00,
2021-08-16 15:45:00,
2021-08-16 16:00:00,
2021-08-16 16:15:00,
2021-08-16 16:30:00,
2021-08-16 16:45:00,
2021-08-16 17:00:00,
2021-08-16 17:15:00,
2021-08-16 17:30:00,
