datetime,1A-VAV2-Zn_Temp
2021-08-14 23:45:00,68.68
2021-08-15 00:00:00,68.55
2021-08-15 00:15:00,68.41
2021-08-15 00:30:00,68.24
2021-08-15 00:45:00,68.17
2021-08-15 01:00:00,68.07
2021-08-15 01:15:00,67.95
2021-08-15 01:30:00,67.86
2021-08-15 01:45:00,67.74
2021-08-15 02:00:00,67.66
2021-08-15 02:15:00,67.5
2021-08-15 02:30:00,67.41
2021-08-15 02:45:00,67.33
2021-08-15 03:00:00,67.21
2021-08-15 03:15:00,67.14
2021-08-15 03:30:00,67.09
2021-08-15 03:45:00,66.93
2021-08-15 04:00:00,66.88
2021-08-15 04:15:00,66.81
2021-08-15 04:30:00,66.68
2021-08-15 04:45:00,66.63
2021-08-15 05:00:00,66.57
2021-08-15 05:15:00,66.48
2021-08-15 05:30:00,66.42
2021-08-15 05:45:00,66.31
2021-08-15 06:00:00,66.26
2021-08-15 06:15:00,66.75
2021-08-15 06:30:00,67.33
2021-08-15 06:45:00,67.23
2021-08-15 07:00:00,67.03
2021-08-15 07:15:00,67.96
2021-08-15 07:30:00,69.21
2021-08-15 07:45:00,70.04
2021-08-15 08:00:00,70.59
2021-08-15 08:15:00,70.93
2021-08-15 08:30:00,71.0
2021-08-15 08:45:00,70.66
2021-08-15 09:00:00,70.48
2021-08-15 09:15:00,70.49
2021-08-15 09:30:00,70.58
2021-08-15 09:45:00,70.79
2021-08-15 10:00:00,71.0
2021-08-15 10:15:00,71.14
2021-08-15 10:30:00,71.28
2021-08-15 10:45:00,71.37
2021-08-15 11:00:00,71.49
2021-08-15 11:15:00,71.61
2021-08-15 11:30:00,71.7
2021-08-15 11:45:00,71.83
2021-08-15 12:00:00,71.93
2021-08-15 12:15:00,72.02
2021-08-15 12:30:00,72.11
2021-08-15 12:45:00,72.22
2021-08-15 13:00:00,72.24
2021-08-15 13:15:00,72.34
2021-08-15 13:30:00,72.19
2021-08-15 13:45:00,72.05
2021-08-15 14:00:00,71.96
2021-08-15 14:15:00,71.95
2021-08-15 14:30:00,72.12
2021-08-15 14:45:00,72.29
2021-08-15 15:00:00,72.42
2021-08-15 15:15:00,72.56
2021-08-15 15:30:00,72.68
2021-08-15 15:45:00,72.81
2021-08-15 16:00:00,72.89
2021-08-15 16:15:00,72.98
2021-08-15 16:30:00,73.06
2021-08-15 16:45:00,73.12
2021-08-15 17:00:00,73.19
2021-08-15 17:15:00,73.21
2021-08-15 17:30:00,73.19
2021-08-15 17:45:00,73.18
2021-08-15 18:00:00,73.19
2021-08-15 18:15:00,73.1
2021-08-15 18:30:00,72.85
2021-08-15 18:45:00,72.58
2021-08-15 19:00:00,72.32
2021-08-15 19:15:00,72.07
2021-08-15 19:30:00,71.7
2021-08-15 19:45:00,71.55
2021-08-15 20:00:00,71.53
2021-08-15 20:15:00,71.52
2021-08-15 20:30:00,71.32
2021-08-15 20:45:00,71.13
2021-08-15 21:00:00,70.9
2021-08-15 21:15:00,70.64
2021-08-15 21:30:00,70.38
2021-08-15 21:45:00,70.18
2021-08-15 22:00:00,70.01
2021-08-15 22:15:00,69.84
2021-08-15 22:30:00,69.62
2021-08-15 22:45:00,69.38
2021-08-15 23:00:00,69.12
2021-08-15 23:15:00,69.04
2021-08-15 23:30:00,68.94
2021-08-15 23:45:00,68.73
2021-08-16 00:00:00,68.61
2021-08-16 00:15:00,68.42
2021-08-16 00:30:00,68.29
2021-08-16 00:45:00,68.2
2021-08-16 01:00:00,68.08
2021-08-16 01:15:00,68.02
2021-08-16 01:30:00,67.84
2021-08-16 01:45:00,67.76
2021-08-16 02:00:00,67.65
2021-08-16 02:15:00,67.53
2021-08-16 02:30:00,67.45
