datetime,1A-VAV3-DischargeAirTemp
2021-08-14 23:45:00,55.82
2021-08-15 00:00:00,55.94
2021-08-15 00:15:00,55.74
2021-08-15 00:30:00,55.92
2021-08-15 00:45:00,55.81
2021-08-15 01:00:00,55.94
2021-08-15 01:15:00,55.84
2021-08-15 01:30:00,55.7
2021-08-15 01:45:00,55.76
2021-08-15 02:00:00,55.87
2021-08-15 02:15:00,55.62
2021-08-15 02:30:00,55.49
2021-08-15 02:45:00,55.34
2021-08-15 03:00:00,55.58
2021-08-15 03:15:00,55.61
2021-08-15 03:30:00,55.34
2021-08-15 03:45:00,55.43
2021-08-15 04:00:00,55.56
2021-08-15 04:15:00,55.58
2021-08-15 04:30:00,55.56
2021-08-15 04:45:00,55.52
2021-08-15 05:00:00,55.68
2021-08-15 05:15:00,55.54
2021-08-15 05:30:00,55.72
2021-08-15 05:45:00,56.27
2021-08-15 06:00:00,56.1
2021-08-15 06:15:00,88.45
2021-08-15 06:30:00,76.07
2021-08-15 06:45:00,85.37
2021-08-15 07:00:00,78.79
2021-08-15 07:15:00,90.04
2021-08-15 07:30:00,78.35
2021-08-15 07:45:00,88.7
2021-08-15 08:00:00,77.3
2021-08-15 08:15:00,85.1
2021-08-15 08:30:00,85.51
2021-08-15 08:45:00,85.4
2021-08-15 09:00:00,63.01
2021-08-15 09:15:00,56.57
2021-08-15 09:30:00,56.38
2021-08-15 09:45:00,56.2
2021-08-15 10:00:00,55.92
2021-08-15 10:15:00,56.07
2021-08-15 10:30:00,55.76
2021-08-15 10:45:00,55.76
2021-08-15 11:00:00,55.64
2021-08-15 11:15:00,55.41
2021-08-15 11:30:00,55.4
2021-08-15 11:45:00,55.4
2021-08-15 12:00:00,54.7
2021-08-15 12:15:00,54.51
2021-08-15 12:30:00,54.51
2021-08-15 12:45:00,54.31
2021-08-15 13:00:00,54.09
2021-08-15 13:15:00,54.19
2021-08-15 13:30:00,54.62
2021-08-15 13:45:00,54.28
2021-08-15 14:00:00,53.95
2021-08-15 14:15:00,53.93
2021-08-15 14:30:00,53.69
2021-08-15 14:45:00,53.98
2021-08-15 15:00:00,54.23
2021-08-15 15:15:00,53.92
2021-08-15 15:30:00,54.16
2021-08-15 15:45:00,54.56
2021-08-15 16:00:00,54.69
2021-08-15 16:15:00,54.81
2021-08-15 16:30:00,54.62
2021-08-15 16:45:00,54.69
2021-08-15 17:00:00,54.96
2021-08-15 17:15:00,55.29
2021-08-15 17:30:00,55.65
2021-08-15 17:45:00,55.95
2021-08-15 18:00:00,55.67
2021-08-15 18:15:00,56.17
2021-08-15 18:30:00,56.31
2021-08-15 18:45:00,56.47
2021-08-15 19:00:00,56.41
2021-08-15 19:15:00,56.41
2021-08-15 19:30:00,57.54
2021-08-15 19:45:00,60.52
2021-08-15 20:00:00,61.76
2021-08-15 20:15:00,59.77
2021-08-15 20:30:00,59.33
2021-08-15 20:45:00,58.78
2021-08-15 21:00:00,60.16
2021-08-15 21:15:00,66.44
2021-08-15 21:30:00,69.68
2021-08-15 21:45:00,70.21
2021-08-15 22:00:00,71.2
2021-08-15 22:15:00,57.39
2021-08-15 22:30:00,56.82
2021-08-15 22:45:00,56.53
2021-08-15 23:00:00,56.41
2021-08-15 23:15:00,56.23
2021-08-15 23:30:00,56.34
2021-08-15 23:45:00,56.13
2021-08-16 00:00:00,56.02
2021-08-16 00:15:00,55.94
2021-08-16 00:30:00,55.79
2021-08-16 00:45:00,56.02
2021-08-16 01:00:00,55.87
2021-08-16 01:15:00,55.83
2021-08-16 01:30:00,55.81
2021-08-16 01:45:00,55.85
2021-08-16 02:00:00,55.58
2021-08-16 02:15:00,55.52
2021-08-16 02:30:00,55.66
2021-08-16 02:45:00,55.76
2021-08-16 03:00:00,55.41
2021-08-16 03:15:00,55.33
2021-08-16 03:30:00,55.58
2021-08-16 03:45:00,55.61
2021-08-16 04:00:00,55.65
2021-08-16 04:15:00,55.31
2021-08-16 04:30:00,55.52
2021-08-16 04:45:00,55.46
2021-08-16 05:00:00,55.48
2021-08-16 05:15:00,56.09
2021-08-16 05:30:00,55.98
2021-08-16 05:45:00,57.18
2021-08-16 06:00:00,55.56
2021-08-16 06:15:00,85.71
2021-08-16 06:30:00,77.57
2021-08-16 06:45:00,79.64
2021-08-16 07:00:00,86.24
2021-08-16 07:15:00,78.15
2021-08-16 07:30:00,87.43
2021-08-16 07:45:00,79.61
2021-08-16 08:00:00,81.27
2021-08-16 08:15:00,87.24
2021-08-16 08:30:00,79.14
2021-08-16 08:45:00,89.58
2021-08-16 09:00:00,89.85
2021-08-16 09:15:00,56.84
2021-08-16 09:30:00,56.51
2021-08-16 09:45:00,56.48
2021-08-16 10:00:00,56.69
2021-08-16 10:15:00,56.38
2021-08-16 10:30:00,55.84
2021-08-16 10:45:00,55.84
2021-08-16 11:00:00,55.66
2021-08-16 11:15:00,55.76
2021-08-16 11:30:00,55.3
2021-08-16 11:45:00,55.22
2021-08-16 12:00:00,55.34
2021-08-16 12:15:00,55.05
2021-08-16 12:30:00,54.27
2021-08-16 12:45:00,
2021-08-16 13:00:00,
2021-08-16 13:15:00,
2021-08-16 13:30:00,
2021-08-16 13:45:00,
2021-08-16 14:00:00,
2021-08-16 14:15:00,
2021-08-16 14:30:00,
2021-08-16 14:45:00,
2021-08-16 15:00:00,
2021-08-16 15:15:00,
2021-08-16 15:30:00,
2021-08-16 15:45:00,
2021-08-16 16:00:00,
2021-08-16 16:15:00,
2021-08-16 16:30:00,
2021-08-16 16:45:00,
2021-08-16 17:00:00,
2021-08-16 17:15:00,
2021-08-16 17:30:00,
2021-08-16 17:45:00,
2021-08-16 18:00:00,
2021-08-16 18:15:00,
2021-08-16 18:30:00,
2021-08-16 18:45:00,
2021-08-16 19:00:00,
