datetime,1B-Th-Chilled Water
2021-08-14 23:45:00,-991.6710387153656
2021-08-15 00:00:00,-1025.7644322670585
2021-08-15 00:15:00,-1202.9559675895514
2021-08-15 00:30:00,-1028.1482992514775
2021-08-15 00:45:00,-1115.0794760143222
2021-08-15 01:00:00,-1078.1715589688554
2021-08-15 01:15:00,-6.736664575750771
2021-08-15 01:30:00,-6.568058632713768
2021-08-15 01:45:00,-5.883423808301857
2021-08-15 02:00:00,-5.441575852904015
2021-08-15 02:15:00,-5.1511846358659685
2021-08-15 02:30:00,-4.927890982944497
2021-08-15 02:45:00,-4.656975583506895
2021-08-15 03:00:00,-4.405277874551059
2021-08-15 03:15:00,-4.14873814463377
2021-08-15 03:30:00,-3.933941415898551
2021-08-15 03:45:00,-3.7727441673264384
2021-08-15 04:00:00,-3.574419679251829
2021-08-15 04:15:00,-3.45978814921002
2021-08-15 04:30:00,-3.3387970663947297
2021-08-15 04:45:00,-3.187884896428688
2021-08-15 05:00:00,-3.0693504576214017
2021-08-15 05:15:00,-2.964457093563459
2021-08-15 05:30:00,-2.886012428560192
2021-08-15 05:45:00,-2.73784393253712
2021-08-15 06:00:00,-2.6906231170002624
2021-08-15 06:15:00,-2.517019957606905
2021-08-15 06:30:00,-2.4547747481430275
2021-08-15 06:45:00,-2.387504770257429
2021-08-15 07:00:00,-2.31028790037397
2021-08-15 07:15:00,-2.204024835603004
2021-08-15 07:30:00,-2.12816541469189
2021-08-15 07:45:00,-2.075892261930843
2021-08-15 08:00:00,-1.9980040873885505
2021-08-15 08:15:00,-1.95626494607618
2021-08-15 08:30:00,-1.9210382200681189
2021-08-15 08:45:00,-1.8563424630613896
2021-08-15 09:00:00,-1.804740884537053
2021-08-15 09:15:00,-1.39407724897524
2021-08-15 09:30:00,-1.1333060711382326
2021-08-15 09:45:00,-0.8564075485878848
2021-08-15 10:00:00,-0.5742127752689574
2021-08-15 10:15:00,-3607.905250166332
2021-08-15 10:30:00,-1098.746019018508
2021-08-15 10:45:00,-652.8918731151416
2021-08-15 11:00:00,-234.41781383166668
2021-08-15 11:15:00,-127.42732227786811
2021-08-15 11:30:00,-1031.523915075188
2021-08-15 11:45:00,-2170.7271024051206
2021-08-15 12:00:00,-2229.908608301136
2021-08-15 12:15:00,-2687.64816074848
2021-08-15 12:30:00,-1910.7817496345613
2021-08-15 12:45:00,-1507.3571970022529
2021-08-15 13:00:00,-2196.744929936479
2021-08-15 13:15:00,-2773.5700318367394
2021-08-15 13:30:00,-1670.0569709118515
2021-08-15 13:45:00,-1726.2564349560134
2021-08-15 14:00:00,-1677.53799784547
2021-08-15 14:15:00,-1451.548663060605
2021-08-15 14:30:00,-2734.351870742726
2021-08-15 14:45:00,-2939.8171050524147
2021-08-15 15:00:00,-3120.3112785888734
2021-08-15 15:15:00,-2411.0048142695723
2021-08-15 15:30:00,-1879.5425635828044
2021-08-15 15:45:00,-1615.308859904139
2021-08-15 16:00:00,-1471.0053433096743
2021-08-15 16:15:00,-1600.2942586408612
2021-08-15 16:30:00,-1316.837258783242
2021-08-15 16:45:00,-1338.6130089655292
2021-08-15 17:00:00,-1028.562816894202
2021-08-15 17:15:00,-1252.551296232946
2021-08-15 17:30:00,-1131.8214517189272
2021-08-15 17:45:00,-1011.466189359502
2021-08-15 18:00:00,-1123.656445533619
2021-08-15 18:15:00,-1244.8859872775893
2021-08-15 18:30:00,-1257.910910274461
2021-08-15 18:45:00,-741.1196979752436
2021-08-15 19:00:00,-385.8249636768087
2021-08-15 19:15:00,-1055.4676270716936
2021-08-15 19:30:00,-528.106685822394
2021-08-15 19:45:00,-25.481712338211867
2021-08-15 20:00:00,-25.99070404098441
2021-08-15 20:15:00,-23.851710186641025
2021-08-15 20:30:00,-22.235550349779967
2021-08-15 20:45:00,-21.136852468265825
2021-08-15 21:00:00,-19.63397553256572
2021-08-15 21:15:00,-18.94169262369487
2021-08-15 21:30:00,-18.182597175841128
2021-08-15 21:45:00,-17.15508437987905
2021-08-15 22:00:00,-16.47948353049824
2021-08-15 22:15:00,-15.748426806848492
2021-08-15 22:30:00,-14.755446822985174
2021-08-15 22:45:00,-14.051938063159657
2021-08-15 23:00:00,-13.487124399996343
2021-08-15 23:15:00,-12.450015441765045
2021-08-15 23:30:00,-12.045850491747034
2021-08-15 23:45:00,-11.656274328532888
2021-08-16 00:00:00,-11.197683888345043
2021-08-16 00:15:00,-10.76825991363085
2021-08-16 00:30:00,-10.423254590926728
2021-08-16 00:45:00,
2021-08-16 01:00:00,
2021-08-16 01:15:00,-9.146724451595704
2021-08-16 01:30:00,-8.722678489223906
2021-08-16 01:45:00,-8.36252426510738
2021-08-16 02:00:00,-8.034517741533675
2021-08-16 02:15:00,-7.550671491708368
2021-08-16 02:30:00,-7.183395456863053
2021-08-16 02:45:00,-6.863346865117709
2021-08-16 03:00:00,-6.68220322426292
2021-08-16 03:15:00,-6.327979948125872
2021-08-16 03:30:00,-6.0462836187358
2021-08-16 03:45:00,-5.818601320146549
2021-08-16 04:00:00,-5.583533929443596
2021-08-16 04:15:00,-5.4955782612368544
2021-08-16 04:30:00,-5.0884794941276805
2021-08-16 04:45:00,-4.9305141274089
2021-08-16 05:00:00,-4.797952313992065
2021-08-16 05:15:00,-4.542363372745151
2021-08-16 05:30:00,-4.421673516278106
2021-08-16 05:45:00,-4.198028276681931
2021-08-16 06:00:00,-4.096883098034916
2021-08-16 06:15:00,-3.9996468737820696
2021-08-16 06:30:00,-3.898581566765316
2021-08-16 06:45:00,-3.776404341184579
2021-08-16 07:00:00,-3.598901718649389
2021-08-16 07:15:00,-3.557801571382974
2021-08-16 07:30:00,-3.3719898402461967
2021-08-16 07:45:00,-3.1773818215070886
2021-08-16 08:00:00,-3.120125268002571
2021-08-16 08:15:00,-2.7773296819963886
2021-08-16 08:30:00,-2.504925976136628
2021-08-16 08:45:00,-2.126594557288213
2021-08-16 09:00:00,-2.00200852067708
2021-08-16 09:15:00,-1.586104289343601
2021-08-16 09:30:00,-1.2143856046881016
2021-08-16 09:45:00,-1.1540534714870692
2021-08-16 10:00:00,-1.2801857862019486
2021-08-16 10:15:00,-1.135552939905282
2021-08-16 10:30:00,-0.8133364311100671
2021-08-16 10:45:00,-3789.28618417424
2021-08-16 11:00:00,-2017.359496895437
2021-08-16 11:15:00,-1312.3625362063908
2021-08-16 11:30:00,-422.8138116592915
2021-08-16 11:45:00,-73.56519101040226
2021-08-16 12:00:00,-1408.130894162556
2021-08-16 12:15:00,-2138.8661806398395
2021-08-16 12:30:00,-2666.880476020352
2021-08-16 12:45:00,-2791.4938714600794
