datetime,1B-VAV3-DischargeAirflow
2021-08-14 23:45:00,104.67
2021-08-15 00:00:00,103.48
2021-08-15 00:15:00,105.56
2021-08-15 00:30:00,104.16
2021-08-15 00:45:00,105.88
2021-08-15 01:00:00,104.25
2021-08-15 01:15:00,105.25
2021-08-15 01:30:00,105.0
2021-08-15 01:45:00,104.49
2021-08-15 02:00:00,103.99
2021-08-15 02:15:00,104.49
2021-08-15 02:30:00,104.82
2021-08-15 02:45:00,104.12
2021-08-15 03:00:00,104.01
2021-08-15 03:15:00,103.55
2021-08-15 03:30:00,104.01
2021-08-15 03:45:00,103.59
2021-08-15 04:00:00,103.11
2021-08-15 04:15:00,103.13
2021-08-15 04:30:00,103.97
2021-08-15 04:45:00,104.32
2021-08-15 05:00:00,103.68
2021-08-15 05:15:00,103.51
2021-08-15 05:30:00,104.63
2021-08-15 05:45:00,104.38
2021-08-15 06:00:00,104.04
2021-08-15 06:15:00,103.88
2021-08-15 06:30:00,103.9
2021-08-15 06:45:00,103.86
2021-08-15 07:00:00,103.81
2021-08-15 07:15:00,219.0
2021-08-15 07:30:00,298.0
2021-08-15 07:45:00,322.0
2021-08-15 08:00:00,344.0
2021-08-15 08:15:00,81.87
2021-08-15 08:30:00,106.42
2021-08-15 08:45:00,104.27
2021-08-15 09:00:00,102.49
2021-08-15 09:15:00,103.33
2021-08-15 09:30:00,103.62
2021-08-15 09:45:00,104.58
2021-08-15 10:00:00,104.23
2021-08-15 10:15:00,105.0
2021-08-15 10:30:00,119.03
2021-08-15 10:45:00,155.0
2021-08-15 11:00:00,200.0
2021-08-15 11:15:00,256.0
2021-08-15 11:30:00,318.0
2021-08-15 11:45:00,352.0
2021-08-15 12:00:00,370.0
2021-08-15 12:15:00,386.0
2021-08-15 12:30:00,353.0
2021-08-15 12:45:00,355.0
2021-08-15 13:00:00,382.0
2021-08-15 13:15:00,404.0
2021-08-15 13:30:00,343.0
2021-08-15 13:45:00,350.0
2021-08-15 14:00:00,371.0
2021-08-15 14:15:00,366.0
2021-08-15 14:30:00,400.0
2021-08-15 14:45:00,390.0
2021-08-15 15:00:00,377.0
2021-08-15 15:15:00,337.0
2021-08-15 15:30:00,313.0
2021-08-15 15:45:00,312.0
2021-08-15 16:00:00,336.0
2021-08-15 16:15:00,339.0
2021-08-15 16:30:00,319.0
2021-08-15 16:45:00,341.0
2021-08-15 17:00:00,353.0
2021-08-15 17:15:00,355.0
2021-08-15 17:30:00,338.0
2021-08-15 17:45:00,332.0
2021-08-15 18:00:00,312.0
2021-08-15 18:15:00,275.0
2021-08-15 18:30:00,237.0
2021-08-15 18:45:00,203.0
2021-08-15 19:00:00,167.0
2021-08-15 19:15:00,136.94
2021-08-15 19:30:00,103.48
2021-08-15 19:45:00,103.73
2021-08-15 20:00:00,102.55
2021-08-15 20:15:00,103.57
2021-08-15 20:30:00,103.0
2021-08-15 20:45:00,104.01
2021-08-15 21:00:00,103.35
2021-08-15 21:15:00,104.93
2021-08-15 21:30:00,104.56
2021-08-15 21:45:00,104.67
2021-08-15 22:00:00,104.14
2021-08-15 22:15:00,104.16
2021-08-15 22:30:00,105.14
2021-08-15 22:45:00,103.68
2021-08-15 23:00:00,104.73
2021-08-15 23:15:00,104.38
2021-08-15 23:30:00,104.58
2021-08-15 23:45:00,104.63
2021-08-16 00:00:00,103.84
2021-08-16 00:15:00,102.95
2021-08-16 00:30:00,103.18
2021-08-16 00:45:00,104.8
2021-08-16 01:00:00,103.84
2021-08-16 01:15:00,107.19
2021-08-16 01:30:00,105.06
2021-08-16 01:45:00,106.5
2021-08-16 02:00:00,105.41
2021-08-16 02:15:00,106.23
2021-08-16 02:30:00,104.58
2021-08-16 02:45:00,106.89
2021-08-16 03:00:00,107.21
2021-08-16 03:15:00,106.68
2021-08-16 03:30:00,103.99
2021-08-16 03:45:00,105.84
2021-08-16 04:00:00,107.32
2021-08-16 04:15:00,104.95
2021-08-16 04:30:00,105.3
2021-08-16 04:45:00,105.6
2021-08-16 05:00:00,105.49
2021-08-16 05:15:00,105.6
2021-08-16 05:30:00,106.05
2021-08-16 05:45:00,107.04
2021-08-16 06:00:00,103.35
2021-08-16 06:15:00,103.46
2021-08-16 06:30:00,103.48
2021-08-16 06:45:00,105.69
2021-08-16 07:00:00,104.8
2021-08-16 07:15:00,374.0
2021-08-16 07:30:00,357.0
2021-08-16 07:45:00,212.0
2021-08-16 08:00:00,78.89
2021-08-16 08:15:00,103.0
2021-08-16 08:30:00,105.43
2021-08-16 08:45:00,106.95
2021-08-16 09:00:00,105.21
2021-08-16 09:15:00,105.0
2021-08-16 09:30:00,105.62
2021-08-16 09:45:00,106.03
2021-08-16 10:00:00,106.16
2021-08-16 10:15:00,104.73
2021-08-16 10:30:00,104.84
2021-08-16 10:45:00,105.13
2021-08-16 11:00:00,137.89
2021-08-16 11:15:00,142.16
2021-08-16 11:30:00,180.0
2021-08-16 11:45:00,247.0
2021-08-16 12:00:00,323.0
2021-08-16 12:15:00,381.0
2021-08-16 12:30:00,402.0
2021-08-16 12:45:00,405.0
2021-08-16 13:00:00,373.0
2021-08-16 13:15:00,372.0
2021-08-16 13:30:00,353.0
2021-08-16 13:45:00,364.0
2021-08-16 14:00:00,394.0
2021-08-16 14:15:00,104.63
2021-08-16 14:30:00,105.25
2021-08-16 14:45:00,103.24
2021-08-16 15:00:00,244.0
2021-08-16 15:15:00,259.0
2021-08-16 15:30:00,261.0
2021-08-16 15:45:00,264.0
2021-08-16 16:00:00,258.0
2021-08-16 16:15:00,252.0
2021-08-16 16:30:00,240.0
2021-08-16 16:45:00,232.0
2021-08-16 17:00:00,227.0
2021-08-16 17:15:00,188.0
2021-08-16 17:30:00,157.93
2021-08-16 17:45:00,145.25
2021-08-16 18:00:00,131.12
2021-08-16 18:15:00,399.0
2021-08-16 18:30:00,312.0
2021-08-16 18:45:00,196.0
2021-08-16 19:00:00,133.88
2021-08-16 19:15:00,119.75
2021-08-16 19:30:00,104.86
2021-08-16 19:45:00,104.84
2021-08-16 20:00:00,103.86
2021-08-16 20:15:00,104.75
2021-08-16 20:30:00,104.1
2021-08-16 20:45:00,103.44
2021-08-16 21:00:00,103.0
2021-08-16 21:15:00,102.95
2021-08-16 21:30:00,105.52
2021-08-16 21:45:00,104.21
2021-08-16 22:00:00,104.95
2021-08-16 22:15:00,104.36
2021-08-16 22:30:00,103.84
2021-08-16 22:45:00,105.32
2021-08-16 23:00:00,104.45
2021-08-16 23:15:00,106.05
2021-08-16 23:30:00,104.34
2021-08-16 23:45:00,105.62
2021-08-17 00:00:00,105.1
2021-08-17 00:15:00,105.28
2021-08-17 00:30:00,105.13
2021-08-17 00:45:00,105.28
2021-08-17 01:00:00,104.89
2021-08-17 01:15:00,105.97
2021-08-17 01:30:00,104.23
2021-08-17 01:45:00,105.38
2021-08-17 02:00:00,106.38
2021-08-17 02:15:00,105.3
2021-08-17 02:30:00,104.58
2021-08-17 02:45:00,104.78
2021-08-17 03:00:00,104.1
2021-08-17 03:15:00,105.56
2021-08-17 03:30:00,104.95
2021-08-17 03:45:00,104.3
2021-08-17 04:00:00,104.52
2021-08-17 04:15:00,106.27
2021-08-17 04:30:00,104.16
